Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
NXTG,First Trust Exchange-Traded Fund II,50.5456,0.0396,0.0783,6/14/19,6/28/19
NYMT,New York Mortgage Trust Inc.,6.09,0.8,13.1363,6/21/19,7/25/19
OBNK,Origin Bancorp Inc.,34.5,0.13,0.3768,5/16/19,5/31/19
OCCI,OFS Credit Company Inc.,17.11,2.004,11.7124,7/23/19,7/31/19
OCFC,OceanFirst Financial Corp.,25.36,0.68,2.6814,5/3/19,5/17/19
OCSI,Oaktree Strategic Income Corporation,8.25,0.62,7.5152,6/13/19,6/28/19
OCSL,Oaktree Specialty Lending Corporation,5.27,0.38,7.2106,6/13/19,6/28/19
ODFL,Old Dominion Freight Line Inc.,160.75,0.68,0.423,6/4/19,6/19/19
ODP,Office Depot Inc.,1.96,0.1,5.102,5/23/19,6/14/19
OFED,Oconee Federal Financial Corp.,23.6276,0.4,1.6929,5/8/19,5/23/19
OFLX,Omega Flex Inc.,73.03,1.12,1.5336,6/21/19,7/2/19
OFS,OFS Capital Corporation,11.03,1.36,12.33,6/20/19,6/28/19
OKDCC,Eaton Vance NextShares Trust II,100.06,0.3096,0.3094,7/1/19,7/5/19
OLBK,Old Line Bancshares Inc.,26.09,0.48,1.8398,6/13/19,6/28/19
OLD,Janus Detroit Street Trust,29.39,0.539512,1.8357,6/28/19,7/5/19
OLED,Universal Display Corporation,211.04,0.4,0.1895,6/13/19,6/28/19
ONB,Old National Bancorp,17.32,0.52,3.0023,5/31/19,6/17/19
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,323.72,4,1.2356,6/21/19,6/26/19
OPB,Opus Bank,21.23,0.44,2.0725,5/8/19,5/23/19
OPBK,OP Bancorp,9.91,0.2,2.0182,5/9/19,5/24/19
OPI,Office Properties Income Trust,26.66,2.2,8.2521,4/26/19,5/16/19
OPOF,Old Point Financial Corporation,22.2077,0.48,2.1614,6/3/19,6/28/19
ORG,Janus Detroit Street Trust,25.077,0.487756,1.945,6/28/19,7/5/19
ORIT,Oritani Financial Corp.,17.65,1,5.6657,5/2/19,5/17/19
ORRF,Orrstown Financial Services Inc,21.22,0.6,2.8275,4/29/19,5/7/19
OSBC,Old Second Bancorp Inc.,12.56,0.04,0.3185,4/25/19,5/6/19
OTEX,Open Text Corporation,43.22,0.6984,1.6159,5/30/19,6/21/19
OTTR,Otter Tail Corporation,51.82,1.4,2.7017,5/14/19,6/10/19
OTTW,Ottawa Bancorp Inc.,13.12,0.24,1.8293,5/28/19,6/12/19
OVBC,Ohio Valley Banc Corp.,37.29,0.84,2.2526,4/25/19,5/10/19
OXLC,Oxford Lane Capital Corp.,10.62,1.62,15.2542,7/23/19,7/31/19
OZK,Bank OZK,30.03,0.96,3.1968,7/11/19,7/19/19
PAAS,Pan American Silver Corp.,15.61,0.14,0.8969,5/20/19,6/3/19
PACW,PacWest Bancorp,37.93,2.4,6.3274,5/17/19,5/31/19
PAHC,Phibro Animal Health Corporation,28.92,0.48,1.6598,6/4/19,6/26/19
PANL,Pangaea Logistics Solutions Ltd.,3.5116,0.14,3.9868,5/31/19,6/11/19
PAYX,Paychex Inc.,84.62,2.48,2.9307,5/14/19,5/30/19
PBBI,PB Bancorp Inc.,11.45,0.28,2.4454,7/16/19,7/31/19
PBCT,People's United Financial Inc.,16.33,0.71,4.3478,4/30/19,5/15/19
PBHC,Pathfinder Bancorp Inc.,14,0.24,1.7143,7/18/19,8/9/19
PBIP,Prudential Bancorp Inc.,18.11,0.2,1.1044,6/6/19,6/21/19
PCAR,PACCAR Inc.,69.23,1.28,1.8489,5/13/19,6/4/19
PCB,PCB Bancorp,16.84,0.24,1.4252,5/30/19,6/14/19
PCH,PotlatchDeltic Corporation,38,1.6,4.2105,6/6/19,6/28/19
PCSB,PCSB Financial Corporation,19.61,0.16,0.8159,5/16/19,5/31/19
PCTI,PC-Tel Inc.,4.51,0.22,4.878,5/7/19,5/15/19
PDCO,Patterson Companies Inc.,19.87,1.04,5.234,7/11/19,7/26/19
PDP,Invesco Exchange-Traded Fund Trust,62.11,0.186884,0.3009,6/24/19,6/28/19
PEBK,Peoples Bancorp of North Carolina Inc.,27.58,0.56,2.0305,5/31/19,6/14/19
PEBO,Peoples Bancorp Inc.,31.7,1.36,4.2902,5/3/19,5/20/19
PEGA,Pegasystems Inc.,76.18,0.12,0.1575,6/28/19,7/15/19
PEGI,Pattern Energy Group Inc.,23.47,1.688,7.1922,6/27/19,7/31/19
PEP,PepsiCo Inc.,130.74,3.82,2.9218,6/6/19,6/28/19
PETS,PetMed Express Inc.,16.64,1.08,6.4904,5/16/19,5/24/19
PEY,Invesco Exchange-Traded Fund Trust,18.26,0.71772,3.9306,7/22/19,7/31/19
PFBC,Preferred Bank,52.65,1.2,2.2792,7/5/19,7/22/19
PFBI,Premier Financial Bancorp Inc.,15.5,0.6,3.871,6/13/19,6/28/19
PFF,iShares Trust,37.25,1.934256,5.1926,7/2/19,7/9/19
PFG,Principal Financial Group Inc,59.82,2.16,3.6108,5/31/19,6/28/19
PFI,Invesco Exchange-Traded Fund Trust,38.085,0.50544,1.3271,6/24/19,6/28/19
PFIN,P & F Industries Inc.,8.1108,0.2,2.4658,5/17/19,5/24/19
PFIS,Peoples Financial Services Corp. ,45.15,1.36,3.0122,5/30/19,6/14/19
PFLT,PennantPark Floating Rate Capital Ltd.,11.68,1.14,9.7603,7/17/19,8/1/19
PFM,Invesco Exchange-Traded Fund Trust,29.23,0.62404,2.1349,6/24/19,6/28/19
PGC,Peapack-Gladstone Financial Corporation,27.83,0.2,0.7186,5/8/19,5/23/19
PGJ,Invesco Exchange-Traded Fund Trust,37.55,0.20836,0.5549,6/24/19,6/28/19
PHO,Invesco Exchange-Traded Fund Trust,35.97,0.35812,0.9956,6/24/19,6/28/19
